english,french
1 shot learning,Apprentissage d'un coup
1-shot learning,Apprentissage d'un coup
2 by 2 contingency table,Table de contingence 2 par 2
2 by n contingency table,Table de contingence 2 par n
2 x 2 contingency table,Table de contingence 2 par 2
A star algorithm,Algorithme A*
A* algorithm,Algorithme A*
A/B testing,Test A/B
A/B/n Testing,Test A/B/n
Αβ pruning,Élagage alpha-bêta
Αβ search,Recherche alpha-bêta
Abduction reasoning,Raisonnement abductif
Abductive logic programming,Programmation logique abductive
Abductive reasoning,Raisonnement abductif
Abilene paradox,Paradoxe d'Abilene
Abnormality,Aplatissement
Aboutness,Intentionnalité
Abrupt change,Changement abrupt
Abscissa axis,Axe des abscisses
Absence of association hypothesis,Hypothèse d'absence d'association
Absence of depletion hypothesis,Hypothèse d'absence de diminution
Absence of difference between groups hypothesis,Hypothèse d'absence de différence entre les groupes
Absence of difference hypothesis,Hypothèse d'absence de différence
Absence of enrichment hypothesis,Hypothèse d'absence de d'augmentation
Absence of negative difference hypothesis,Hypothèse d'absence de différence négative
Absence of positive difference hypothesis,Hypothèse d'absence de différence positive
Absence of within subject difference hypothesis,Hypothèse d'absence de différence intrasujet
Absolute component band chart,Graphique à ceintures
Absolute deviation,Écart absolu
Absolute dispersion,Dispersion statistique
Absolute error,Erreur absolue
Absolute frequency,Fréquence absolue
Absolute risk,Risque absolu
Absorbing barrier,Barrière absorbante
Absorbing Markov chain,Chaîne de Markov absorbante
Abstract data type,Type abstrait
Abstract programming,Programmation abstraite
Abstraction predicate,Prédicat d'abstraction
Accelerated failure time model,Modèle accéléré de durée de dérangement
Acceptable quality level,Niveau de qualité acceptable
Acceptance inspection,Contrôle d'acceptation
Acceptance number,Critère d'acceptation
Acceptance quality level,Niveau de qualité acceptable
Acceptance quality limit,Niveau de qualité acceptable
Acceptance region,Région d'acceptation
Acceptance sampling,Échantillonnage pour le contrôle de réception
Acceptance testing,Test d'acceptation
Acceptance tree,Arbre d'acceptation
Accepter,État accepteur
Access control,Contrôle de l’accès
Access control list,Routeur filtrant
Access-oriented programming,Programmation orientée accès
Accord.NET,Accord.NET
Accuracy,Justesse
ACID,ACID
Ackermann function,Fonction d'Ackermann
Ackermann-Péter function,Fonction d'Ackermann
Acoustic model,Modèle acoustique
Action language,Langage d'action
Action learning,Apprentissage par modèle d'action
Action specification,Spécification d'action
Activate,Déclencher
Activation Function,Fonction d'activation
Activation level,Niveau d'activation
Activation word,Mot déclencheur
Active Learning,Apprentissage actif
Active voice,Voix active
Actor programming,Programmation par acteurs
Actor-based programming,Programmation par acteurs
Actuarial statistics,Statistique actuarielle
Actuator,Actionneur
Acyclic graph,Graphe acyclique
Ad hoc test,Essai ad hoc
Adaboost,Amplification adaptative
Adadelta,Adadelta
Adagrad,Gradient adaptatif
Adaline,Adaline
Adam Optimization,Optimisation Adam
Adaptability,Adaptabilité
Adaptative system,Système adaptatif
Adaptive AI,Intelligence artificielle adaptative
Adaptive algorithm,Algorithme adaptatif
Adaptive artificial intelligence,Intelligence artificielle adaptative
Adaptive Gradient,Gradient adaptatif
Adaptive inference,Inférence adaptative
Adaptive learning environment,Environnement d’apprentissage adaptatif
Adaptive methods,Méthodes adaptées
Adaptive Moment Estimation,Optimisation Adam
Added variable plot,Diagramme de variable ajoutée
Adding material objective,Objectif d'ajout de matériel
Addition of random variable,Somme de variables aléatoires
Additive models,Modèle additif
Additive process,Processus additif
Adiabatic,Méthode Adiabatique
Adiabatique method,Méthode Adiabatique
Admissible Decision Rule,Règle de décision admissible
Admissible heuristic,Heuristique admissible
Adverbial phrase,Locution adverbiale
Adversarial attack,Attaque adverse
Adversarial Machine Learning,Apprentissage automatique contradictoire
Affective computing,Informatique affective
Affine Layer,Couche entièrement connectée
Affinity Matrix,Matrice d'affinité
Age-specific death rate,Taux de mortalité par âge
Age-specific mortality rate,Taux de mortalité par âge
Agent,Agent
Agent architecture,Architecture d'agents
Aggregate data,Donnée agrégée
Aggregate index,Indice agrégatif
Aggregative index,Indice agrégatif
Agreement,Concordance
Aho-Corasick algorithm,Algorithme d'Aho-Corasick
AI accelerator,Accélérateur d'IA
AI alignment,Alignement de l'IA
AI architect,Architecte en intelligence artificielle
AI art,Synthographie
AI chatbot,Robot conversationnel génératif
AI collapse,Effondrement du modèle
AI Crawler,Robot d'indexation
AI engeneering,Ingénierie de l'IA
AI hallucination,Fabulation de l'IA
AI porn,PornAI
AI romance,Romance IA
AI security,Sûreté de l'intelligence artificielle
AI simulation,Simulation IA
AI strategist,Stratège en IA
AI system,Système d’intelligence artificielle
AI validation,Validation en IA
AI Watermark,Filigrane IA
AI-as-a-Service,IA en tant que service
AI-assisted plagiarism,PlagIA
AI-complete problem,Problème complet
AI-hard problem,Problème complet
AI-powered content manipulation,Manipulation de contenu par intelligence artificielle
AI-powered surveillance,Surveillance par intelligence artificielle
AIgiarism,PlagIA
AIOps,AIOps
Akaike information criterion,Critère d'information d'Akaike
Ako,Ako
Alan Turing,Alan Turing
AlexNet,AlexNet
Algebraic simplification,Simplification algébrique
Algorithm,Algorithme
Algorithme FP-Growth,Algorithme FP-growth
Algorithme id3ID3,Algorithme ID3
Algorithmic auditing,Audit algorithmique
Algorithmic bias,Biais algorithmique
Algorithmic decision,Décision algorithmique
Algorithmic decision-making,Décision algorithmique
Algorithmic journalism,Journalisme automatisé
Algorithmic Learning Theory,Théorie de l'apprentissage algorithmique
Algorithmic probability,Probabilité algorithmique
Algorithmic reasoning,Algorithmique
Algorithmic verification,Audit algorithmique
ALgorithms Of Pattern EXtraction,ALOPEX
Algospeak,Lingualgo
Algotalk,Lingualgo
Alignement problem,Alignement de l'IA
All-pole model,Modèle autorégressif
Allometry,Allométrie
Allow list,Liste d'autorisation
Allowlist,Liste d'autorisation
Almeida–Pineda recurrent backpropagation,Rétropropagation récurrente d'Almeida-Pineda
ALOPEX,ALOPEX
Alpha distribution,Distribution alpha
Alpha error,Erreur de première espèce
Alpha factoring,Factorisation alpha
Alpha-beta cutoffs,Élagage alpha-bêta
Alpha-beta pruning,Élagage alpha-bêta
Alpha/beta search,Recherche alpha-bêta
AlphaGo,AlphaGo
Alternating Direction Method of Multipliers,Algorithme des directions alternées
Alternative Hypothesis,Hypothèse alternative
Altman box and whisker plot,Graphique boite et moustaches de Altman
Amalgamation paradox,Paradoxe de Simpson
Ambient intelligence,Intelligence ambiante
Ambiguity,Ambiguïté
Analog computer,Calculateur analogique
Analogical learning,Apprentissage par analogie
Analogical modeling,Modélisation analogique
Analogical reasoning,Raisonnement analogique
Analogue computer,Calculateur analogique
Analogy-based learning,Apprentissage par analogie
Analysis of algorithms,Analyse de la complexité des algorithmes
Analysis of dispersion,Analyse de la dispersion
Analytic regression,Ajustement analytique
Analytic survey,Enquête analytique
Anaphor,Anaphore
Ancestral sampling,Échantillonnage ancestral
Ancestry-filtered resolution,Résolution linéaire
ANCOVA,ANCOVA
Anderson-Darling test,Test d'Anderson-Darling
AngularJS,AngularJS
Animat,Animat
Animat approach,Approche animat
Annealed importance sampling,Recuit par échantillonnage d'importance
Annotation,Annotation des données
Anomaly,Donnée aberrante
Anomaly detection,Détection d'anomalies
Anonymisation,Anonymisation
Anonymization,Anonymisation
ANOVA,ANOVA
Ansari-Bradley dispersion test,Test de dispersion d'Ansari-Bradley
Answer set programming,Programmation par ensembles réponses
Ant colony optimization,Algorithme de colonies de fourmis
Ante-dependence covariance structure,Structure de covariance antédépendante
Antecedent,Prémisse
Anthropomorphic virtual character,Personnage virtuel anthropomorphique
Anthropomorphism,Anthropomorphisme
Anti-antivirus virus,Virus anti-antivirus
Anti-monotone constraint,Contrainte anti-monotone
Antivirus program,Logiciel antivirus
Antivirus software,Logiciel antivirus
Anyons,Anyons
Anytime algorithm,Algorithme à tout moment
Apache Cassandra,Cassandra
Apache Chukwa,Apache Chukwa
Apache Drill,Apache Drill
Apache Flume,Apache Flume
Apache Hadoop,Apache Hadoop
Apache Hadoop YARN,YARN
Apache HBase,Apache HBase
Apache Hive,Apache Hive
Apache Impala,Apache Impala
Apache Kafka,Apache Kafka
Apache Mahout,Mahout
Apache MxNet,MxNet
Apache Oozie,Apache Oozie
Apache Pig,Apache Pig
Apache Singa,Apache Singa
Apache Spark,Apache Spark
Apache Sqoop,Apache Sqoop
Apache Storm,Apache Storm
Apache Thrift,Apache Thrift
Apache ZooKeeper,Apache ZooKeeper
API,Interface de programmation applicative
Application programming interface,Interface de programmation applicative
Applied Intelligence Platform,Plateforme Applied Intelligence
Applied machine learning,Apprentissage automatique appliqué
Applied ML,Apprentissage automatique appliqué
Apprentissage de la quantification vectorielle,Quantification vectorielle par apprentissage
Approximate algorithm,Algorithme d'approximation
Approximate bayesian computation,Calcul bayésien approximatif
Approximate string matching,Correspondance approximative de séquences
Approximation algorithm,Algorithme d'approximation
Approximation error,Erreur d'approximation
Apriori algorithm,Algorithme APriori
Arborescence,Structure arborescente
Arborescent structure,Structure arborescente
Arbre de décision QUEST,QUEST
Arc sine distribution,Loi en arcsinus
Architecture micro-batch,Architecture par microlots
Arcsine distribution,Loi en arcsinus
Area comparability factor,Facteur de comparabilité géographique
Area sampling,Échantillonnage aréolaire
Area under curve,Surface sous la courbe
Area under the curve,Surface sous la courbe
Area under the ROC curve,Aire sous la courbe ROC
